56,50056
57,50057
58,50058
59,50059
60,50060
61,50061
62,50062
64,50064
66,50066
68,50068
69,50069
70,50070
71,50071
75,50075
29,50029
30,50030
54,50054
10542,50067
1856,51842
31,50031
11881,61759
63,50063
12040,61809
73,50073
72,50072
55,50055
10541,60002
102,50102
103,50103
104,50104
105,50105
106,50106
107,50107
109,50109
110,50110
111,50111
112,50112
114,50114
115,50115
116,50116
1379,51368
45,50045
8535,50043
11563,58721
108,50108
44,50044
46,50046
47,50047
98,50098
101,50101
8699,58381
8701,58384
1409,51397
2787,52759
2786,52758
2785,52757
2784,52756
2783,52755
2431,52407
2430,52406
2795,52767
2794,52766
2793,52765
2792,52764
2791,52763
2790,52762
2789,52761
2788,52760
1415,51403
1414,51402
1413,51401
1412,51400
2429,52405
2798,52770
2797,52769
2796,52768
8740,58388
1411,51399
1410,51398
11614,51380
2782,52754
1859,51845
2939,52908
12084,59543
3023,52992
2741,52716
2671,52646
2538,52514
2540,52516
2541,52517
2542,52518
2543,52519
2544,52520
2545,52521
2546,52522
2547,52523
2744,52719
1743,51729
1744,51730
1745,51731
1550,51538
1551,51539
2745,52720
2746,52721
2747,52722
2748,52723
8697,58343
8673,58344
2832,52803
2831,52802
2830,52801
2829,52800
2828,52799
2827,52798
1862,51848
1861,51847
1860,51846
1858,51844
1393,51381
1391,58428
2942,52911
2941,52910
2940,52909
2756,52731
2757,52732
2759,52734
1561,51549
1562,51550
1793,51779
1794,51780
2760,52735
2604,52579
2605,52580
2606,52581
2607,52582
2608,52583
2609,52584
2610,52585
2612,52587
1172,51163
8443,52586
8683,58342
9505,58346
2773,52746
2772,52745
2771,52744
2770,52743
2769,52742
1891,51877
1892,51878
1477,51465
1478,51466
2973,52942
2972,52941
2971,52940
2970,52939
2969,52938
2968,52937
2967,52936
8737,58385
2817,52788
2816,52787
2815,52786
2814,52785
2813,52784
2812,52783
1462,51450
1459,51447
1458,51446
1457,51445
2805,52777
2806,52778
2809,52781
2808,52780
2807,52779
2804,52776
2433,52409
2434,52410
2478,52454
2800,52772
2802,52774
8738,58387
1461,51449
9010,58598
9125,52782
10042,59402
10204,51876
10205,51875
10600,59995
9043,58337
11519,52733
2598,52573
585,50579
586,50580
587,50581
589,50583
590,50584
591,50585
592,50586
593,50587
594,50588
596,50590
597,50591
598,50592
599,50593
600,50594
601,50595
602,50596
603,50597
604,50598
605,50599
606,50600
607,50601
608,50602
609,50603
610,50604
11792,58895
95,50095
9093,58299
11046,50589
11486,50605
11474,50533
11427,50535
11475,50536
11526,50526
11524,60980
11522,61292
11528,58326
519,50515
520,50516
10976,61074
518,50514
696,50689
91,50091
93,50093
12071,61930
516,50512
517,50513
231,50229
449,50445
493,50489
494,50490
495,50491
496,50492
497,50493
498,50494
499,50495
500,50496
512,50508
513,50509
11638,50094
542,50537
584,50578
247,50245
248,50246
249,50247
250,50248
251,50249
252,50250
256,59041
257,50255
258,50256
260,50258
261,50259
262,50260
263,59538
265,50263
266,50264
10404,59838
10812,59583
10814,59580
36,50036
35,50035
11761,58125
142,50142
267,50265
12033,61924
236,50234
230,50228
234,50232
235,50233
238,50236
239,50237
240,50238
242,50240
243,50241
244,50242
245,58307
246,50244
141,50141
144,59844
146,50146
147,50147
150,50150
151,50151
152,59842
154,50154
155,50155
162,50162
163,50163
165,50165
