route_id,trip_id
23876,6314110
23876,6314150
23876,6314162
23876,6314153
23876,6314144
23876,6314151
23876,6314142
23876,6314102
23876,6314163
23876,6314108
23876,6314115
23876,6314152
23876,6314119
23876,6314136
23876,6314133
23876,6314147
23876,6314118
23876,6314138
23876,6314109
23876,6314143
23876,6314145
23876,6314146
23876,6314101
23876,6314112
23876,6314114
23876,6314105
23876,6314117
23876,6314116
23876,6314135
23876,6314106
23876,6314139
23876,6314107
23876,6314103
23876,6314104
23876,6314134
23876,6314149
23876,6314137
23876,6314120
23876,6314121
23876,6314122
23876,6314164
23876,6314123
23876,6314165
23876,6314124
23876,6314125
23876,6314126
23876,6314127
23876,6314111
23876,6314128
23876,6314129
23876,6314130
23876,6314131
23876,6314132
23876,6314148
23876,6314140
23876,6314141
23876,6314113
23876,6314154
23876,6314155
23876,6314156
23876,6314157
23876,6314158
23876,6314159
23876,6314160
23876,6314161
23876,6314214
23876,6314233
23876,6314172
23876,6314225
23876,6314177
23876,6314226
23876,6314170
23876,6314181
23876,6314201
23876,6314202
23876,6314205
23876,6314206
23876,6314169
23876,6314190
23876,6314191
23876,6314192
23876,6314184
23876,6314211
23876,6314203
23876,6314194
23876,6314195
23876,6314196
23876,6314183
23876,6314185
23876,6314187
23876,6314186
23876,6314193
23876,6314208
23876,6314209
23876,6314199
23876,6314200
23876,6314204
23876,6314176
23876,6314235
23876,6314198
23876,6405205
23876,6314215
23876,6314227
23876,6314188
23876,6314228
23876,6314189
23876,6314230
23876,6314216
23876,6314210
23876,6314178
23876,6314231
23876,6314175
23876,6314213
23876,6314179
23876,6314180
23876,6314173
23876,6314182
23876,6314197
23876,6314167
23876,6314229
23876,6314168
23876,6314207
23876,6314212
23876,6314171
23876,6314166
23876,6314174
23876,6314217
23876,6314218
23876,6314219
23876,6314220
23876,6314221
23876,6314222
23876,6314223
23876,6314224
23877,6314555
23877,6314554
23877,6314553
23877,6314552
23877,6314551
23877,6314550
23877,6314549
23877,6314548
23877,6314547
23877,6314546
23877,6314545
23877,6314544
23877,6314542
23877,6314543
23877,6314541
23877,6314540
23877,6314539
23877,6314538
23877,6314537
23877,6314536
23877,6314535
23877,6314534
23877,6314533
23877,6314532
23877,6314531
23877,6314529
23877,6314530
23877,6314528
23877,6314527
23877,6314526
23877,6314525
23877,6314524
23877,6314523
23877,6314522
23877,6314521
23877,6314520
23877,6314519
23877,6314518
23877,6314517
23877,6314516
23877,6314558
23877,6314515
23877,6314514
23877,6314513
23877,6314512
23877,6314511
23877,6314510
23877,6314509
23877,6314508
23877,6314507
23877,6314506
23877,6314505
23877,6314504
23877,6314503
23877,6314502
23877,6314501
23877,6314500
23877,6314499
23877,6314498
23877,6314497
23877,6314496
23877,6314495
23877,6314494
23877,6314493
23877,6314492
23877,6314491
23877,6314490
23877,6314489
23877,6314488
23877,6314487
23877,6314486
23877,6314485
23877,6314484
23877,6314483
23877,6314482
23877,6314481
23877,6314480
23877,6314479
23877,6314478
23877,6314477
23877,6314476
23877,6314475
23877,6314474
23877,6314473
23877,6314472
23877,6314471
23877,6314470
23877,6314469
23877,6314468
23877,6314467
23877,6314466
23877,6314465
23877,6314464
23877,6314463
23877,6314462
23877,6314461
23877,6314460
23877,6314459
23877,6314458
23877,6314457
23877,6314456
23877,6314455
23877,6314454
23877,6314453
23877,6314452
23877,6314451
23877,6314450
23877,6314449
23877,6314448
23877,6314447
23877,6314446
23877,6314445
23877,6314444
23877,6314443
23877,6314442
23877,6314441
23877,6314440
23877,6314439
23877,6314438
23877,6314437
23877,6314436
23877,6314435
23877,6314434
23877,6314433
23877,6314432
23877,6314431
23877,6314430
23877,6314429
23877,6314428
23877,6314427
23877,6314559
23877,6314426
23877,6314425
23877,6314556
23877,6314557
23877,6314689
23877,6314688
23877,6314687
23877,6314686
23877,6314685
23877,6314684
23877,6314683
23877,6314682
23877,6314681
23877,6314680
23877,6314679
23877,6314678
23877,6314677
23877,6314676
23877,6314675
23877,6314674
23877,6314673
23877,6314672
23877,6314671
23877,6314670
23877,6314669
23877,6314668
23877,6314667
23877,6314691
23877,6314666
23877,6314665
23877,6314664
23877,6314663
23877,6314662
23877,6314661
23877,6314660
23877,6314659
23877,6314658
23877,6314657
23877,6314656
23877,6314655
23877,6314654
23877,6314653
23877,6314652
23877,6314651
23877,6314650
23877,6314649
23877,6314648
23877,6314647
23877,6314646
23877,6314645
23877,6314644
23877,6314643
23877,6314642
23877,6314641
23877,6314640
23877,6314639
23877,6314638
23877,6314637
23877,6314636
23877,6314635
23877,6314634
23877,6314633
23877,6314632
23877,6314631
23877,6314630
23877,6314629
23877,6314628
23877,6314627
23877,6314626
23877,6314625
23877,6314624
23877,6314623
23877,6314622
23877,6314621
23877,6314620
23877,6314619
23877,6314618
23877,6314617
23877,6314616
23877,6314615
23877,6314614
23877,6314613
23877,6314612
